relationship_id,source_id,source_type,relationship,target_id,target_type,timestamp,source_document,confidence,provenance,amount,channel,is_anomaly,anomaly_type,transaction_id,person_id,hour,day_of_week,date,time_of_day,is_night,transaction_frequency,daily_total,unique_accounts,amount_vs_person_mean,amount_rank,amount_zscore,source_transaction_count,source_mean_amount,source_amount_ratio,model_prediction,raw_anomaly_score,anomaly_score,reason
TX_003173,SYN_P_0213,Person,TRANSFERRED_MONEY,SYN_P_0465,Person,2026-01-27 23:13:00,,1.0,synthetic,7731861.45,upi,True,transaction_spike,TX_003173,SYN_P_0213,23,1,2026-01-27,0,0,27,7731861.45,27,8.212797693669877,0.9998666666666667,3.156122309941957,27,941440.6318518518,8.212797693669877,1,-0.2914892264164113,1.0,transaction amount is unusually high; amount is more than 3x the person's average; amount is an extreme deviation from the person's historical behavior; daily transaction total is unusually high; transaction frequency is unusually high; person interacts with an unusually large number of accounts; amount is unusually high relative to source historical behavior
TX_002309,SYN_P_0485,Person,TRANSFERRED_MONEY,SYN_P_0583,Person,2026-01-05 02:11:00,,1.0,synthetic,6879261.9,wallet,True,transaction_spike,TX_002309,SYN_P_0485,2,0,2026-01-05,1,1,14,6879261.9,14,3.492539868039065,0.9991333333333333,1.6653715037744652,14,1969701.7528571428,3.492539868039065,1,-0.2900813722613762,0.9966083535030663,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_001311,SYN_P_0519,Person,TRANSFERRED_MONEY,SYN_P_0082,Person,2026-02-20 05:12:00,,1.0,synthetic,7447514.06,wallet,True,transaction_spike,TX_001311,SYN_P_0519,5,4,2026-02-20,1,1,22,7447514.06,22,5.475614099956969,0.9996666666666667,2.264474178171769,22,1360123.9831818182,5.475614099956969,1,-0.2874345407233838,0.9902318997477539,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_003279,SYN_P_0213,Person,TRANSFERRED_MONEY,SYN_P_0735,Person,2026-03-21 12:39:00,,1.0,synthetic,6038460.25,bank,True,transaction_spike,TX_003279,SYN_P_0213,12,5,2026-03-21,0,0,27,6038460.25,27,6.414063771734713,0.9988,2.3690457133459843,27,941440.6318518518,6.414063771734713,1,-0.2844989486542274,0.9831597960627436,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction frequency is unusually high; person interacts with an unusually large number of accounts; amount is unusually high relative to source historical behavior
TX_003267,SYN_P_0782,Person,TRANSFERRED_MONEY,SYN_P_0294,Person,2026-01-28 02:53:00,,1.0,synthetic,6458797.56,bank,True,transaction_spike,TX_003267,SYN_P_0782,2,2,2026-01-28,1,1,15,6461792.369999999,15,3.9300578597005607,0.9988666666666667,1.7963374877937526,15,1643435.7433333332,3.9300578597005607,1,-0.2843632556890714,0.9828328995811131,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_001393,SYN_P_0213,Person,TRANSFERRED_MONEY,SYN_P_0152,Person,2026-03-09 15:18:00,,1.0,synthetic,5348819.33,wallet,True,transaction_spike,TX_001393,SYN_P_0213,15,0,2026-03-09,0,0,27,5351370.38,27,5.68152589662362,0.9985333333333334,2.0485072442655827,27,941440.6318518518,5.68152589662362,1,-0.2832614361526308,0.9801785178344975,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction frequency is unusually high; person interacts with an unusually large number of accounts; amount is unusually high relative to source historical behavior
TX_000624,SYN_P_0050,Person,TRANSFERRED_MONEY,SYN_P_0396,Person,2026-02-16 00:25:00,,1.0,synthetic,6548686.45,bank,True,transaction_spike,TX_000624,SYN_P_0050,0,0,2026-02-16,1,1,23,6548686.45,23,5.419653267612894,0.9989333333333333,2.212416706401227,23,1208322.032173913,5.419653267612894,1,-0.2829528635843389,0.9794351389365101,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_000477,SYN_P_0492,Person,TRANSFERRED_MONEY,SYN_P_0355,Person,2026-03-16 16:16:00,,1.0,synthetic,5973618.28,wallet,True,transaction_spike,TX_000477,SYN_P_0492,16,0,2026-03-16,0,0,26,5973618.28,26,8.566175314436999,0.9987333333333334,3.340189731859213,26,697349.5242307691,8.566175314436999,1,-0.281323952511052,0.9755109465648988,transaction amount is unusually high; amount is more than 3x the person's average; amount is an extreme deviation from the person's historical behavior; daily transaction total is unusually high; transaction frequency is unusually high; person interacts with an unusually large number of accounts; amount is unusually high relative to source historical behavior
TX_001183,SYN_P_0340,Person,TRANSFERRED_MONEY,SYN_P_0410,Person,2026-01-25 04:11:00,,1.0,synthetic,7618368.6,upi,True,transaction_spike,TX_001183,SYN_P_0340,4,6,2026-01-25,1,1,18,7618368.6,18,5.8408104660691995,0.9997333333333334,2.5793221485297906,18,1304334.1577777779,5.8408104660691995,1,-0.2812416693023063,0.9753127189603555,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_000496,SYN_P_0748,Person,TRANSFERRED_MONEY,SYN_P_0551,Person,2026-01-10 19:19:00,,1.0,synthetic,7001985.76,bank,True,transaction_spike,TX_000496,SYN_P_0748,19,5,2026-01-10,0,0,24,7005937.41,22,5.421229674586349,0.9993333333333333,2.183405946416896,24,1291586.26,5.421229674586349,1,-0.27979308655426605,0.9718229536424509,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; amount is unusually high relative to source historical behavior
TX_000070,SYN_P_0748,Person,TRANSFERRED_MONEY,SYN_P_0537,Person,2026-03-10 15:21:00,,1.0,synthetic,7062174.29,bank,True,transaction_spike,TX_000070,SYN_P_0748,15,1,2026-03-10,0,0,24,7062174.29,22,5.467830147093698,0.9994,2.2064193965806003,24,1291586.26,5.467830147093698,1,-0.27979308655426605,0.9718229536424509,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; amount is unusually high relative to source historical behavior
TX_001271,SYN_P_0748,Person,TRANSFERRED_MONEY,SYN_P_0543,Person,2026-02-06 21:42:00,,1.0,synthetic,7231678.91,upi,True,transaction_spike,TX_001271,SYN_P_0748,21,4,2026-02-06,0,0,24,7231678.91,22,5.599067699899502,0.9995333333333334,2.271230517983426,24,1291586.26,5.599067699899502,1,-0.27979308655426605,0.9718229536424509,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; amount is unusually high relative to source historical behavior
TX_000486,SYN_P_0492,Person,TRANSFERRED_MONEY,SYN_P_0432,Person,2026-01-01 02:32:00,,1.0,synthetic,3631550.7,bank,True,transaction_spike,TX_000486,SYN_P_0492,2,3,2026-01-01,1,1,26,3631550.7,26,5.207647777498498,0.9976,1.8575226343042397,26,697349.5242307691,5.207647777498498,1,-0.2774280178783558,0.9661252918065495,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; transaction frequency is unusually high; person interacts with an unusually large number of accounts; transaction occurred during unusual hours; amount is unusually high relative to source historical behavior
TX_003837,SYN_P_0485,Person,TRANSFERRED_MONEY,SYN_P_0037,Person,2026-02-25 18:09:00,,1.0,synthetic,7825411.86,upi,True,transaction_spike,TX_003837,SYN_P_0485,18,2,2026-02-25,0,0,14,7825411.86,14,3.9728917581805883,0.9999333333333333,1.986314955826546,14,1969701.7528571428,3.9728917581805883,1,-0.27637522898799793,0.9635890292688266,transaction amount is unusually high; amount is more than 3x the person's average; daily transaction total is unusually high; amount is unusually high relative to source historical behavior
